page,gt_count,pred_count,precision,recall,f1,mean_iou,true_pos,false_pos,missed,mean_text_cer,mean_text_wer,mean_capture_rate,llm_score,llm_missed,llm_extra,llm_mislocalized,llm_label_mismatches,llm_rationale
page_0020,15,15,1.0,1.0,1.0,0.9943,15,0,0,0.0,0.0,1.0,8,0,0,0,0,"Most regions are accurately detected with correct labels and spatial overlap. However, some regions have minor spatial discrepancies."
page_0021,11,11,1.0,1.0,1.0,0.9947,11,0,0,0.0,0.0,1.0,8,0,0,2,0,"Most regions are correctly identified, but two are mislocalized. Label correctness is perfect."
page_0022,13,13,1.0,1.0,1.0,0.9941,13,0,0,0.0,0.0,1.0,7,0,0,0,0,"Most regions are correctly detected, but some have minor spatial discrepancies."
page_0023,12,12,1.0,1.0,1.0,0.9935,12,0,0,0.0,0.0,1.0,8,0,0,0,2,"Most regions are accurately detected with correct labels, but two regions have label mismatches. The predicted regions have good spatial overlap with the ground-truth regions."
page_0024,16,16,1.0,1.0,1.0,0.9928,16,0,0,0.0,0.0,1.0,8,0,0,2,0,"Most regions are accurately detected, but two regions are mislocalized. Label correctness is perfect."
page_0025,11,11,1.0,1.0,1.0,0.9914,11,0,0,0.0,0.0,1.0,8,0,0,3,2,"Most regions are correctly detected, but some are mislocalized. Label mismatches occur for some GraphicZone-Decoration regions."
page_0026,15,15,1.0,1.0,1.0,0.9943,15,0,0,0.0,0.0,1.0,7,0,0,2,1,"Most regions are correctly identified, but some have minor spatial misalignments and one label mismatch."
page_0027,14,14,1.0,1.0,1.0,0.9831,14,0,0,0.0,0.0,1.0,8,0,0,1,0,"Most regions are correctly detected, but one region is slightly mislocalized. Label correctness is perfect."
page_0028,16,16,1.0,1.0,1.0,0.9948,16,0,0,0.0,0.0,1.0,8,0,0,2,2,"Most regions are accurately detected, but two regions are mislocalized and two labels are incorrect."
page_0029,15,15,1.0,1.0,1.0,0.9894,15,0,0,0.0,0.0,1.0,7,0,0,3,2,"Most regions are correctly identified, but there are minor issues with spatial overlap and label correctness for a few regions."
page_0030,16,16,1.0,1.0,1.0,0.9925,16,0,0,0.0256,0.0308,0.9692,8,0,0,2,0,"Most regions are correctly identified, but some have minor spatial discrepancies. No regions are missed or extra, and all labels are correct."
