label,iou,gt_text,captured_text,text_cer,text_wer,capture_rate,page
MainZone-P,0.9990663017486181,"The Rags thew him to undervalue and neglect himself. His open Breast, and the Serpents, denote the Trouble and Vexation of Worldly Things, always gnawing the Heart.","The Rags thew him to undervalue and neglect himself. His open Breast, and the Serpents, denote the Trouble and Vexation of Worldly Things, always gnawing the Heart.",0.0,0.0,1.0,page_0020
MainZone-P,0.9985203440338005,"A Woman with a homely Country-face, but comely notwithstanding. in a green Gown, crown’d with a Garland of Ears of Corn, holding the Zodiack in her left Hand, and a Shrub in her right; a Plow-share at her Feet.","A Woman with a homely Country-face, but comely notwithstanding. in a green Gown, crown’d with a Garland of Ears of Corn, holding the Zodiack in her left Hand, and a Shrub in her right; a Plow-share at her Feet.",0.0,0.0,1.0,page_0020
MainZone-P,0.9980599489020617,"Florers naturally import a jovial Humour; and we say, the Fields smile, when cover’d with Flowers. The Glass, and golden Goblet, shew that Mirth is rarely alone, but in good Fellowship.","Florers naturally import a jovial Humour; and we say, the Fields smile, when cover’d with Flowers. The Glass, and golden Goblet, shew that Mirth is rarely alone, but in good Fellowship.",0.0,0.0,1.0,page_0020
MainZone-Sp,0.9976672806658425,,,0.0,0.0,1.0,page_0020
MainZone-P,0.9971630980079257,"The verdant Robe signifies Hope, without which no body would labour. The 12 Signs declare the different Seasons, which the Tiller ought to observe; the Plough, the most necessary Instrument in Agricultuie.","The verdant Robe signifies Hope, without which no body would labour. The 12 Signs declare the different Seasons, which the Tiller ought to observe; the Plough, the most necessary Instrument in Agricultuie.",0.0,0.0,1.0,page_0020
MainZone-P,0.9970702322143563,"A sorrowful Man in Rags; with both Hands he opens his Breast, and looks upon his Heart encompass’d with Serpents; his Garment is blackish.","A sorrowful Man in Rags; with both Hands he opens his Breast, and looks upon his Heart encompass’d with Serpents; his Garment is blackish.",0.0,0.0,1.0,page_0020
MainZone-P,0.9964876741920575,"A Man in White, and over all a purple Mantle; a Ray fhining round him, crown’d with a Garland of Olive; a Chain about his Neck, and a Heart, for a Pendent; his right Arm extended, and his Hand open; in his lest a Stake surrounded with a Vine, and at his right is a Stork.","A Man in White, and over all a purple Mantle; a Ray fhining round him, crown’d with a Garland of Olive; a Chain about his Neck, and a Heart, for a Pendent; his right Arm extended, and his Hand open; in his lest a Stake surrounded with a Vine, and at his right is a Stork.",0.0,0.0,1.0,page_0020
MainZone-P,0.9961368388196107,"A Youth with jolly, plump Cheeks, a white Raiment, painted with green Branches, Flowers red and yellow, with a Garland of several Flowers; a Crystal-Glass full of Clarct, in onc Hand, and in the other a gold Cup, and seems to dance in a flowery Meadow.","A Youth with jolly, plump Cheeks, a white Raiment, painted with green Branches, Flowers red and yellow, with a Garland of several Flowers; a Crystal-Glass full of Clarct, in onc Hand, and in the other a gold Cup, and seems to dance in a flowery Meadow.",0.0,0.0,1.0,page_0020
MainZone-P,0.9959749111430037,"His Age intimates his Discretion; not being intent upon Avarice, in giving his Helping-Hand. The white Raiment shews Sincerity without Self-Interest The splendid Ray denotes Divine Assistance, without which as the Wife without the Husband, it is like the Vine without the Stake: The Stork, the Natural Affection of Parents towards their Children.","His Age intimates his Discretion; not being intent upon Avarice, in giving his Helping-Hand. The white Raiment shews Sincerity without Self-Interest The splendid Ray denotes Divine Assistance, without which as the Wife without the Husband, it is like the Vine without the Stake: The Stork, the Natural Affection of Parents towards their Children.",0.0,0.0,1.0,page_0020
MainZone-Head,0.9959620089847666,FIG. 7. Ajuto : ASSISTANCE.,FIG. 7. Ajuto : ASSISTANCE.,0.0,0.0,1.0,page_0020
MainZone-Head,0.9952027604941706,FIG. 6. Agricoltura : AGRICHLTHRE.,FIG. 6. Agricoltura : AGRICHLTHRE.,0.0,0.0,1.0,page_0020
MainZone-Head,0.9924355646007895,F1G 8. Allegrezza: MIRTH.,F1G 8. Allegrezza: MIRTH.,0.0,0.0,1.0,page_0020
MainZone-Head,0.9902939530175342,Sborat emblents.,Sborat emblents.,0.0,0.0,1.0,page_0020
MainZone-Head,0.9898547525980278,FIG. 5. Affanno: DESPAIR.,FIG. 5. Affanno: DESPAIR.,0.0,0.0,1.0,page_0020
NumberingZone,0.9740100153711241,2,2,0.0,0.0,1.0,page_0020
GraphicZone,0.9992678540944812,8. Mirth u 1100 e. atil,8. Mirth u 1100 e. atil,0.0,0.0,1.0,page_0021
GraphicZone,0.9991954626830799,,,0.0,0.0,1.0,page_0021
GraphicZone-Decoration,0.9991300303568278,,,0.0,0.0,1.0,page_0021
GraphicZone,0.9990653451463193,,,0.0,0.0,1.0,page_0021
GraphicZone-Decoration,0.9988102473862946,Sssistance Y. 2.,Sssistance Y. 2.,0.0,0.0,1.0,page_0021
GraphicZone,0.9987120692384681,,,0.0,0.0,1.0,page_0021
GraphicZone,0.9986019502630448,,,0.0,0.0,1.0,page_0021
GraphicZone-Decoration,0.9976381406290814,,,0.0,0.0,1.0,page_0021
NumberingZone,0.9922603461562794,,,0.0,0.0,1.0,page_0021
GraphicZone-Head,0.9857689875008719,,,0.0,0.0,1.0,page_0021
NumberingZone,0.9735983585198591,,,0.0,0.0,1.0,page_0021
MainZone-P,0.999092998004105,"A Damsel, blind, with a losty Countenance, in a pompous red Mantle adorn’d with several Jewels, under which is a poor Petticoat; having a Peacock under her right Arm, holding up her lest, standing with one Foot upon a Bowl, and with the other seems to precipitate herself.","A Damsel, blind, with a losty Countenance, in a pompous red Mantle adorn’d with several Jewels, under which is a poor Petticoat; having a Peacock under her right Arm, holding up her lest, standing with one Foot upon a Bowl, and with the other seems to precipitate herself.",0.0,0.0,1.0,page_0022
